category,macro_state_1,macro_state_2,innovation_success,year,outcome,Feature1,Feature2,predicted_outcome
3,3.6813580341674994,0.3232646436777509,6,1,356.13873819763705,-268.4549097527188,45.669346348652,253.22343659593326
1,3.8233863168019298,2.5473961004774215,8,1,360.4957144669902,-264.7339821737557,217.43524959071144,345.57226741695575
3,3.462681150202979,4.279069793830631,8,1,330.8115653205646,-272.1390064193251,178.94137859287423,382.81137217354916
3,5.431531501150447,1.554444396051926,9,1,577.344810066657,-149.63622603256044,171.48764667387871,497.8604206413183
1,6.019868928501731,9.797349440147212,9,1,-747.3183468867561,-74.02571435927871,-949.5962962149099,-630.7510105741886
1,5.465267606772145,2.2239102598955363,7,1,476.7944711016091,-145.78567070793815,207.91120593102326,454.9965352230851
3,6.949902397716665,6.778608543277392,10,1,513.2516352592147,82.10767354777704,-142.527350225306,415.58932332247105
2,4.55809633683459,4.541126863560809,9,1,370.1294876324797,-228.78613601584743,159.9799673044182,365.63383128857083
3,4.676330558665162,5.551478548266743,9,1,297.66919454830656,-220.38671573848058,54.55262166982584,310.1749059313453
3,5.106561891394878,9.326799923688078,10,1,-541.951493718185,-183.7054131185156,-793.6468029046373,-501.3432160231529
3,4.770501584256686,5.3155384165214485,7,1,301.61897499456677,-213.17819463074443,83.76615697866328,346.59696234791886
3,5.49871090984981,3.0522648988158663,5,1,527.4261306590219,-141.91028940675687,221.78483117806545,555.8835417713086
1,4.360379061061279,2.208143075070125,9,1,425.6602716249797,-241.21256293542694,207.3125025697197,358.9709396342928
3,3.6052756550575027,8.919928700645057,7,1,-491.53837001662583,-270.01794450525455,-667.7772574172911,-461.78620192254573
2,3.210659421008416,9.867250656715475,9,1,-699.9855389207039,-273.3094846231847,-973.7127789840451,-812.5822636072297
1,5.480512623765372,2.518321588949518,5,1,442.5950781510621,-144.02628365828775,216.79445393979304,465.6391702815053
2,4.47408887939054,7.219337381365472,8,1,-101.1853982469518,-234.31360844166295,-231.79079615134947,-31.664404593012392
2,3.830459019548824,5.057524858322991,7,1,203.65758078939038,-264.52134886029586,112.50848048208616,282.4271316217903
2,4.380940930000783,6.985829979590705,9,1,-37.08247740495329,-240.0146958781442,-183.28057275949914,11.14473136235668
2,6.952531902595452,9.64214572770644,6,1,-568.6083023319873,82.6126925977751,-896.9281608737992,-379.8754682760241
1,3.8891066071638045,2.7608672842124706,10,1,415.96505589443365,-262.65824761143966,220.83833129114805,351.0510836797084
1,5.727191530349802,7.399459820596402,10,1,15.78239901225123,-113.88268118657857,-271.083702210761,7.904616602660482
2,5.42109357144915,4.379468106321828,7,1,448.06557666527243,-150.8156317690125,172.08501887215067,455.70938710313817
2,6.341432818013137,6.525341133671345,10,1,349.0818886269766,-25.11432005050574,-95.65074540742569,313.6749345420686
1,4.876907128385861,4.066519158846376,7,1,364.74642706580124,-204.47985307329634,191.7844026397753,380.175549566479
1,3.43965560156931,7.083359801659767,8,1,-128.40829903067834,-272.3826415981323,-203.20856857094896,-82.72021016908123
1,5.992545304780762,3.3750157832753347,9,1,583.4118211884452,-77.93462756963845,217.84956271769363,532.7859351480552
3,4.750177684887211,4.883550975927385,9,1,401.4849238316302,-214.77284049781974,129.99936082774298,391.23552032992325
3,6.274463129811951,7.0879364490155785,10,1,267.57863100384066,-35.74275127734302,-204.15545120427578,236.11079751838122
3,5.815968893311694,0.4270679789226073,7,1,416.492016437263,-102.26221851114065,59.21962519481367,432.96640668367303
2,5.9958695923806316,3.2808953127387666,6,1,560.6971869802794,-77.46112383534876,219.53819371301728,576.5170698776685
3,7.368481709325382,5.4618470262674945,7,1,792.4358222686208,167.01318346924063,65.98029070325344,709.0024741724941
2,5.281998044895958,0.7413517806665637,8,1,412.6825831688957,-165.9931305823418,96.94196785593574,365.38883727359394
2,6.442855069811284,7.031567710009774,9,1,241.37292465338186,-8.575326156944584,-192.56647717752776,233.29819666552768
3,4.595154465970292,8.13286956491697,7,1,-265.4565214153374,-226.2314958228552,-447.91886337224196,-198.14135919509715
2,5.54071139666567,1.6332730956185915,6,1,453.6427723581659,-136.9611610643492,176.947070576454,474.4259095121048
3,4.4977292804281355,7.334630010602808,9,1,-42.85733030609111,-232.7951290819077,-256.7534458160512,-13.5395748979589
3,5.479239839057629,6.462001347604333,8,1,211.82768172167246,-144.17363341264104,-84.43154666181044,247.40381992554853
1,5.374805497273437,4.108784788631052,10,1,478.5955529270473,-155.97775572042474,189.41152459600607,426.3047688755814
3,2.93943345649392,1.6498813204480955,7,1,388.08813911962255,-270.88992060656534,178.05745185192427,383.17653124535894
1,4.388272106343213,9.54878362284188,10,1,-701.9084920880605,-239.58230421204684,-865.8293430249487,-712.5406472369955
3,5.230315704872343,4.640109774624458,8,1,467.6021658188157,-171.37686619317378,151.91945502552608,456.5515888323523
3,2.7426070177890205,1.8364345228515833,8,1,396.7003598335906,-266.74572011838177,189.57699827004532,398.8402781516636
1,4.904155629294815,7.181642457683691,10,1,-38.85534856758146,-202.15795239711485,-223.7742494806762,-33.06120187779102
1,6.008470289839616,6.078979555495466,9,1,318.8632637523747,-75.66110775874938,-20.886434779202318,296.32345746204834
3,6.300246483225706,8.16197989900714,7,1,-84.45075160587974,-31.67833185570612,-455.49585119591075,-11.165183051616836
2,4.217555286321568,9.960967117024472,9,1,-829.0258063450968,-248.92803863750618,-1006.4312346585323,-820.9192732960383
1,6.364406173547867,0.4486716627892462,7,1,367.889499364323,-21.414762647258613,61.971610125849956,433.4278474785914
2,6.208116513169599,7.393157589275293,7,1,77.3811566320437,-46.042989020026084,-269.6813564427239,118.71565453725006
2,2.852109302761136,9.89130889106721,8,1,-662.3369174861563,-269.2992016447756,-982.0698974993447,-816.9290991441203
2,5.1157919129843235,5.38231638962098,10,1,354.0821453520023,-182.81330825028738,75.78188402433454,327.4085757740472
1,5.226429211211968,7.157020542424309,10,1,2.4796118971493044,-171.77612223550136,-218.5765053174987,2.518372446999976
2,6.518795217892742,4.411105149923317,8,1,645.0199713290948,4.157466106534002,169.81945092183292,608.416917028367
1,5.286384960925076,3.56773714008514,10,1,517.0493963072128,-165.52976990543436,213.00204302625684,440.3432731208225
2,6.393731039608051,6.964580918369042,7,1,227.74090536360515,-16.652618257970516,-179.0022688658387,238.78511287619082
3,4.219218314602903,9.880894041075571,8,1,-759.1639215572857,-248.8442862788503,-978.4485143319807,-751.283800610831
3,3.401950746601136,0.9166641568531397,7,1,383.47743509068107,-272.7222358256322,115.82606436077619,319.112828535144
1,4.3521618123778945,4.221214804219388,8,1,317.3076919067187,-241.68514201951967,182.66219203071364,333.848050011194
3,6.576988436680315,9.406188029304484,8,1,-439.95650932705996,14.117013858302926,-819.1768497477001,-329.05083588939715
3,5.925919380006447,1.1279829254780815,7,1,526.794881076233,-87.30384473728475,136.53447851073216,525.2396337734474
2,7.32246143364015,6.5093331154688485,6,1,516.6587242556941,157.23384262677246,-92.79624009025588,498.87760253651663
1,3.5566705545898625,4.301648106298713,10,1,286.45386692680967,-270.8593695383493,177.44364582159807,299.4552762832488
2,6.041321979693562,3.768924174792121,8,1,590.410294812886,-70.92951616930009,205.94908643512673,569.4595702658266
2,5.754866199773422,2.094397740878181,8,1,540.688655604513,-110.30406008989064,202.62304302121797,526.7589829313274
2,4.714683262837038,1.7633427269116897,8,1,459.120220086801,-217.5064263771668,185.27213108788897,402.2057047107222
2,5.775927591662724,5.162866996789909,10,1,494.7911413274553,-107.55399350592961,101.17787931112741,428.06388580519786
2,5.139964810923485,3.77437213158775,10,1,511.14348412254424,-180.4560036701904,205.72979543714547,459.71379176695507
2,5.460307515541502,4.915443838710072,8,1,429.99541965408145,-146.3555035226649,126.90686415497987,414.99136063231504
2,5.680549931003582,1.959374586326471,10,1,581.8361434475718,-119.82406056327716,196.2118340478704,510.8277734845933
1,5.980109295255058,3.5020175207063464,7,1,543.9777847685015,-79.700902443377,214.8649378181816,528.0350353748046
3,5.086811666160404,9.964176708532309,7,1,-831.7681016748918,-185.59948360599662,-1007.5595944575543,-717.150078063551
2,6.777336054612869,3.680708281149574,9,1,766.5588075327336,49.74860979952541,209.29220916704014,693.4808189665656
2,4.784274675104881,4.12709162060199,8,1,404.2677363597509,-212.0853608244238,188.35586206143893,410.71050123701514
2,6.883757620688135,0.19876062246987236,8,1,382.74738778831,69.52193403210686,28.702170259030346,532.6641042911373
2,3.8721560715575816,3.8082579685052966,7,1,293.25997937447823,-263.2150512627587,204.3323127403703,375.55726147761163
2,4.014940475320732,7.633913411127624,5,1,-255.7335846327326,-258.0589668028914,-324.67249775440064,-148.29146455729202
2,4.073489734644175,5.155967960573108,10,1,268.1979792187729,-255.6390935259932,101.93701532735304,280.7379218013599
3,5.956860781725683,6.570454163542424,8,1,286.0711891108441,-82.98135951646452,-103.76450146938225,289.26313901415324
3,4.194538480692795,5.56552138442311,7,1,214.23583671105527,-250.07246945002316,52.72561084095469,278.66214139093154
2,6.490125360603546,1.054910603742547,7,1,473.0318581319256,-0.684708396578344,129.6276624102082,563.3829540136298
3,4.473526289127138,3.321443914148098,8,1,468.2533116665613,-234.34939195218442,218.86531999652152,460.5249280443371
1,5.399285698248379,6.942330820173632,9,1,61.860110319130484,-153.26152284829516,-174.54674947548529,65.06272767621958
2,5.640087525436735,5.479389042999192,8,1,390.51449158933195,-124.88694034540958,63.775546765019044,373.3286064196095
1,3.984255676900678,6.749610689950595,8,1,-60.122578181560584,-259.25620049997326,-136.99670504178232,-3.3819055417555575
1,3.609226563230295,3.6018048825308693,8,1,295.3971930495807,-269.94416536452707,211.9508838277677,334.8777184632407
2,5.282883200034179,1.9368908435925136,9,1,516.4019248816738,-165.89971790675702,195.05521724339638,463.59549933663936
3,4.722758369767536,8.298140368662335,9,1,-262.25396968845405,-216.8902660478003,-491.5021835944017,-232.38344964220198
1,5.498449007884204,3.7630115939105635,7,1,473.51555042122334,-141.94086367745058,206.18539066511016,457.1155269876596
2,3.6543419206953605,6.550109940832629,7,1,-27.931719581236493,-269.04429386047576,-100.09284370499256,65.3028624345317
1,4.6432428320942165,3.8124636293720737,8,1,386.36794358299636,-222.81032355422872,204.1548396893984,374.2155161351697
1,4.818162358408098,9.272535572765392,9,1,-639.3834904563137,-209.35465131320495,-776.3785312752793,-592.8621825884843
1,2.5625302635594074,9.91939314624818,7,1,-629.9059179436217,-261.1946171916593,-991.8623542752034,-860.1859714668627
1,5.995457270957167,6.489288006523993,9,1,245.82021030790125,-77.51988505977874,-89.2400219499466,226.1110929902747
3,4.242558154883908,6.021512090718886,8,1,165.03873524847526,-247.6537314130116,-11.988757130121826,216.3665114568666
1,6.49916134167259,8.408269795865701,8,1,-180.9067835064987,0.836817604815451,-521.3068068492903,-127.59898924447482
1,4.307169282085857,5.162317952513887,7,1,182.52877141233242,-244.21062487423598,101.23838109948406,249.89875622524812
1,4.478673264007049,8.695059005229066,8,1,-489.0758577131965,-234.02140729116422,-601.7833273160657,-442.93373460722984
3,3.758087881439522,4.129382880483251,9,1,379.31927376932373,-266.57459609408,188.2225500767874,397.6569539827074
1,6.146612731088595,0.31897088265279927,10,1,389.13982093682444,-55.387526520996175,45.09717783795323,382.5806513169571
1,5.454161849510198,9.265903377055606,10,1,-584.9920830784212,-147.05976992131968,-774.2781553433756,-528.4669252646953
3,6.400135711132506,7.215284710884616,8,1,213.81207529655882,-15.606613738006217,-230.92549033103228,229.47689593096152
3,4.792651006561654,5.107671209361953,9,1,371.71548482318553,-211.4159261039281,107.18432884126526,371.7774027373372
3,4.958284253216921,9.448937379326514,9,1,-618.5237402525265,-197.4313460171137,-833.0556866255356,-554.4780326426493
1,3.317986768229671,8.86768044587174,10,1,-465.0388490936042,-273.21362493941825,-652.2168703848135,-532.5594953242319
3,4.375955623130491,1.084259772831665,8,1,451.22191189599846,-240.30713668687474,132.43401742040214,368.1358807335274
3,5.1704986547672895,6.243974448664207,7,1,213.04203042772744,-177.4350839266425,-47.3554134134863,251.2185026598712
1,5.3872008374664055,5.381041377360046,7,1,318.7433848913785,-154.60629791909162,75.93642999140422,314.20113207231265
3,6.823937473305267,7.764737717328682,8,1,175.48525582560885,58.33496855048679,-355.7763388244798,178.567629726007
1,3.1490528437577465,3.007679320340606,9,1,328.741829349917,-273.0946957844526,221.91668212771157,341.692986343259
2,5.229454750803878,0.08115652433690501,8,1,330.6047465860782,-171.4653787708088,11.959431686005425,274.9340529151966
3,4.6237627239026935,1.8539960107646203,8,1,478.102987687464,-224.21065345047316,190.57128581462047,442.3696323641473
2,5.075503593238282,2.109405839672054,7,1,469.2207743644805,-186.6748363698141,203.27904970755822,451.04421333774417
1,5.102716251310227,2.914163717463696,8,1,468.1929810942102,-184.07580031267332,221.86852999523856,430.66372968256525
3,4.808815437749766,3.7039284830887356,6,1,470.8424463502234,-210.1137839011493,208.45017677261865,474.34539287146936
1,3.86689208186654,7.0655479392990275,7,1,-141.56565897924978,-263.3849350723188,-199.5334205159961,-70.04735558831489
2,3.681222809493835,0.7424487497093812,7,1,345.9086927944596,-268.4579540534065,97.06493479899716,263.04698074559064
1,4.735088215203507,4.865472756609583,7,1,277.6720410761032,-215.9429310687873,131.72960517578258,308.65767410699533
3,3.579382502985043,4.986436813731881,8,1,250.59349196993549,-270.48143873070615,119.83937583369539,325.36693710298925
3,4.8870957208651165,6.158697855603088,9,1,240.16204096061367,-203.6161683928085,-33.50416580572244,238.88866580146907
2,4.746630557861076,3.1054745729260547,7,1,443.21750218215897,-215.0489586332336,221.49664534485856,440.88768671162495
1,2.5499646982901334,2.5978889550605055,8,1,302.9474673804357,-260.74451150503967,218.4470898394478,350.5735783344082
3,6.933613076172532,4.838849106970561,8,1,745.8608983444939,78.98715853952376,134.24779985706402,689.2439583965878
2,5.077257666145919,6.596079889275789,8,1,113.1911804130628,-186.50846547391689,-108.41896519315014,139.512569332933
3,2.562609859825461,0.4459207129595222,8,1,369.21813393058005,-261.1974422814185,61.6224843722313,276.43404209081285
3,5.247132932208854,2.935818416510502,8,1,569.2979192525349,-169.64022081812948,221.9188046361798,528.2875838180504
1,4.79661068064847,7.87310314933235,8,1,-231.2377814298378,-211.09820340248064,-382.19220331269366,-200.41940671517426
3,3.6822343102793296,4.841895420201771,9,1,294.54567856690034,-268.4351592501778,133.9614704997208,341.53531124954304
1,5.309302940774259,9.51825803400991,9,1,-708.6320270205711,-163.09287340363528,-855.7563831801892,-625.9782565838245
3,4.057846144810398,8.675417292674025,9,1,-386.57350617052066,-256.30305257392183,-596.1396982877218,-376.4337508616436
2,5.193032628832447,3.439449787019951,9,1,509.43166823128604,-175.174643559718,216.4366814413264,475.7020378816085
3,4.29849032661083,7.262709954952278,7,1,-96.98319173578753,-244.68570851331117,-241.10320628830414,-9.779914801615277
1,4.094420882520014,2.743084861557791,9,1,397.80357183531925,-254.73086835646058,220.64234052360752,358.782472167147
1,4.984466151964581,1.7529648986008683,7,1,409.29229015176196,-195.0905846664714,184.6391320167413,382.41954735026997
2,3.377907021829532,8.810203664464204,9,1,-433.831093372101,-272.90029914661636,-635.2579051530972,-473.71820429971353
